Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.14-10.42.0.211-443-60049-6,10.42.0.211,60049,172.217.11.14,443,6,28/08/2017 04:23:18,229587,6,8,1341.0,1709.0,773.0,0.0,223.5,336.95860279862274,1418.0,0.0,213.62500000000003,491.0618051005102,13284.724309303227,60.97906240335907,17660.53846153846,23507.347087720555,77055.0,16.0,171889.0,34377.8,35540.97143720188,87699.0,1437.0,192192.0,27456.0,31248.766759665894,81440.0,16.0,0,0,0,0,200,264,26.13388388715389,34.84517851620518,0.0,1418.0,203.33333333333334,405.3507593371919,164309.23809523808,0,0,0,1,0,0,0,0,1.0,217.85714285714286,223.5,213.625,200,0,0,0,0,0,0,6,1341,8,1709,65535,176,3,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
206.126.112.140-10.42.0.211-443-59925-6,10.42.0.211,59925,206.126.112.140,443,6,28/08/2017 04:23:18,1166858,136,944,1016.0,1340724.0,627.0,0.0,7.470588235294108,58.13138900628098,1448.0,0.0,1420.2584745762717,161.75587739851136,1149874.2777613043,925.5624934653574,1081.4253938832262,6469.919741234723,150210.0,0.0,1166858.0,8643.3925925926,23054.093514225,222001.0,3.0,1064589.0,1128.9384941675503,7493.725646584395,150210.0,1.0,0,0,0,0,4360,30216,116.5523139919339,809.0101794734236,0.0,1448.0,1241.2025901942657,494.3578051116073,244389.63947476595,0,0,0,1,0,0,0,0,6.0,1242.351851851852,7.470588235294118,1420.2584745762713,4360,0,0,0,0,0,0,136,1016,944,1340724,65535,123,4,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-13.107.3.128-46264-443-6,10.42.0.211,46264,13.107.3.128,443,6,28/08/2017 04:23:19,36505,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.18052321599781,18252.5,25418.367463312825,36226.0,279.0,0,0,0,0,0,279.0,279.0,0.0,279.0,279.0,0,0,0,0,32,64,27.393507738665935,54.78701547733187,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,2138,1025,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-13.107.3.128-46261-443-6,10.42.0.211,46261,13.107.3.128,443,6,28/08/2017 04:23:19,35740,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.93956351426972,17870.0,25247.954729046865,35723.0,17.0,0,0,0,0,0,17.0,17.0,0.0,17.0,17.0,0,0,0,0,32,64,27.979854504756574,55.95970900951315,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1641,1029,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-65.52.108.74-36613-443-6,10.42.0.211,36613,65.52.108.74,443,6,28/08/2017 04:23:19,50904,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.934464875058936,25452.0,35981.835667458654,50895.0,9.0,0,0,0,0,0,9.0,9.0,0.0,9.0,9.0,0,0,0,0,32,64,19.644821625019645,39.28964325003929,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,514,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-52.179.184.189-46019-443-6,10.42.0.211,46019,52.179.184.189,443,6,28/08/2017 04:23:19,50289,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.770128656366204,50289.0,0.0,50289.0,50289.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.885064328183102,19.885064328183102,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,1025,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-40.117.145.132-44211-443-6,10.42.0.211,44211,40.117.145.132,443,6,28/08/2017 04:23:19,87324,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.903211030186434,87324.0,0.0,87324.0,87324.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,11.451605515093217,11.451605515093217,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,513,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-91.190.216.56-38710-12350-6,10.42.0.211,38710,91.190.216.56,12350,6,28/08/2017 04:23:19,122598,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.313479828382192,122598.0,0.0,122598.0,122598.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.156739914191096,8.156739914191096,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,9,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-111.221.77.148-59228-40010-6,10.42.0.211,59228,111.221.77.148,40010,6,28/08/2017 04:23:19,243384,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.217467047957138,243384.0,0.0,243384.0,243384.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.108733523978569,4.108733523978569,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1431,35,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
172.217.11.14-10.42.0.211-443-44654-6,10.42.0.211,44654,172.217.11.14,443,6,28/08/2017 04:23:25,36520,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,629.7918948521359,54.7645125958379,36520.0,0.0,36520.0,36520.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.38225629791895,27.38225629791895,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,249,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
172.217.10.10-10.42.0.211-443-51965-6,10.42.0.211,51965,172.217.10.10,443,6,28/08/2017 04:23:33,37478,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.36464058914564,37478.0,0.0,37478.0,37478.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.68232029457282,26.68232029457282,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,181,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
172.217.11.14-10.42.0.211-443-44998-6,10.42.0.211,44998,172.217.11.14,443,6,28/08/2017 04:23:44,36758,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.714130257359,54.409924370205125,36758.0,0.0,36758.0,36758.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.204962185102563,27.204962185102563,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,185,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
172.217.10.10-10.42.0.211-443-36178-6,10.42.0.211,36178,172.217.10.10,443,6,28/08/2017 04:23:20,30342315,15,10,460.0,4276.0,218.0,0.0,30.66666666666667,57.957702146438116,1418.0,0.0,427.59999999999997,611.5583373644741,156.08565134202846,0.823931858857836,1264263.125,6124806.8394304365,3.0019223E7,24.0,3.0342315E7,2167308.2142857146,8027236.738086029,3.0057021E7,136.0,285670.0,31741.11111111111,40103.42712426347,96627.0,24.0,0,0,0,0,488,328,0.4943591153147016,0.3295727435431344,0.0,1418.0,182.1538461538461,419.185084878524,175716.13538461537,0,0,0,1,0,0,0,0,0.0,189.44,30.666666666666668,427.6,488,0,0,0,0,0,0,15,460,10,4276,65535,170,6,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
172.217.10.10-10.42.0.211-443-42175-6,10.42.0.211,42175,172.217.10.10,443,6,28/08/2017 04:23:54,36787,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,842.6889933944057,81.55054774784571,18393.5,25631.913711231162,36518.0,269.0,0,0,0,0,0,269.0,269.0,0.0,269.0,269.0,1,0,0,0,32,64,27.18351591594857,54.36703183189714,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1657,213,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
172.217.11.14-10.42.0.211-443-42156-6,10.42.0.211,42156,172.217.11.14,443,6,28/08/2017 04:23:20,37289098,7,11,1847.0,1976.0,918.0,0.0,263.85714285714283,442.8590552954098,459.0,0.0,179.63636363636363,207.7374654352328,102.52326296549194,0.482714813857927,2193476.352941176,8896609.389474578,3.6715693E7,11.0,3.7252372E7,6208728.666666667,1.4945892972811878E7,3.6715693E7,1753.0,3.7212282E7,3721228.2,1.1608364906389613E7,3.6756806E7,11.0,1,0,0,0,224,352,0.18772242761141605,0.294992386246511,0.0,918.0,248.89473684210526,341.1102615376966,116356.21052631579,0,1,0,0,1,0,0,0,1.0,262.72222222222223,263.85714285714283,179.63636363636363,224,0,0,0,0,0,0,7,1847,11,1976,1453,217,2,32,536679.0,0.0,536679.0,536679.0,3.6715693E7,0.0,3.6715693E7,3.6715693E7,RANSOMWARE_CHARGER
172.217.11.14-10.42.0.211-443-60923-6,10.42.0.211,60923,172.217.11.14,443,6,28/08/2017 04:23:23,35066253,5,4,612.0,736.0,589.0,0.0,122.4,261.0273931984917,404.0,0.0,184.0,201.745714535237,38.44151811714813,0.2566570200699801,4383281.625,1.236004740280747E7,3.4972799E7,4.0,3.5066253E7,8766563.25,1.747087840655858E7,3.4972799E7,256.0,50853.0,16951.0,29347.869036780165,50839.0,4.0,1,0,0,0,160,128,0.14258723337221116,0.11406978669776892,0.0,589.0,193.70000000000002,253.13634885395484,64078.01111111112,0,1,0,0,1,0,0,0,0.0,215.22222222222223,122.4,184.0,160,0,0,0,0,0,0,5,612,4,736,1771,234,1,32,93198.0,0.0,93198.0,93198.0,3.4972799E7,0.0,3.4972799E7,3.4972799E7,RANSOMWARE_CHARGER
172.217.11.14-10.42.0.211-443-60923-6,172.217.11.14,443,10.42.0.211,60923,6,28/08/2017 04:23:58,239,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8368.200836820084,239.0,0.0,239.0,239.0,239.0,239.0,0.0,239.0,239.0,0,0,0,0,0,0,0,0,0,64,0,8368.200836820084,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,234,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
172.217.10.10-10.42.0.211-443-51939-6,10.42.0.211,51939,172.217.10.10,443,6,28/08/2017 04:23:25,33429843,14,17,4096.0,7390.0,1368.0,0.0,292.5714285714285,492.4401899310622,1418.0,0.0,434.70588235294116,621.1956983014575,343.58522114507093,0.927315153708619,1114328.1,5889245.979308933,3.2291754E7,20.0,3.3391527E7,2568579.0,8931886.749835072,3.2291754E7,20.0,3.3392681E7,2087042.5625,8071410.186491801,3.2350267E7,25.0,0,0,0,0,456,552,0.4187874887716344,0.5085276649369846,0.0,1418.0,358.93750000000006,556.9126842721629,310151.73790322576,0,0,0,1,0,0,0,0,1.0,370.51612903225805,292.57142857142856,434.70588235294116,456,0,0,0,0,0,0,14,4096,17,7390,65535,213,7,32,1099773.0,0.0,1099773.0,1099773.0,3.2291754E7,0.0,3.2291754E7,3.2291754E7,RANSOMWARE_CHARGER
172.217.7.3-10.42.0.211-443-55068-6,10.42.0.211,55068,172.217.7.3,443,6,28/08/2017 04:23:47,11768530,6,4,735.0,166.0,519.0,0.0,122.5,212.59327364712178,166.0,0.0,41.5,83.0,76.56011413490045,0.8497237972796943,1307614.4444444445,3820933.730699576,1.1496451E7,49.0,1.176853E7,2353706.0,5161367.08802353,1.1586541E7,5870.0,221223.0,73741.0,82254.91100232254,162481.0,49.0,0,0,0,0,200,136,0.5098342783678166,0.3398895189118777,0.0,519.0,81.90909090909092,164.24765115243173,26977.290909090905,0,0,0,1,0,0,0,0,0.0,90.1,122.5,41.5,200,0,0,0,0,0,0,6,735,4,166,65535,175,2,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
172.217.11.14-10.42.0.211-443-42601-6,10.42.0.211,42601,172.217.11.14,443,6,28/08/2017 04:23:43,20626003,9,10,1401.0,1102.0,969.0,0.0,155.66666666666669,317.23059436315407,450.0,0.0,110.2,167.97539502359663,121.35167438887699,0.9211673245659859,1145889.0555555557,4774178.040572165,2.0275538E7,13.0,2.0588829E7,2573603.625,7152768.719288655,2.0275538E7,5524.0,2.0589071E7,2287674.5555555555,6766034.439383181,2.0330182E7,13.0,0,0,0,0,296,328,0.43634241689967757,0.48482490766630837,0.0,969.0,125.14999999999999,239.0003908827458,57121.18684210528,0,0,0,1,0,0,0,0,1.0,131.73684210526315,155.66666666666666,110.2,296,0,0,0,0,0,0,9,1401,10,1102,65535,185,4,32,313291.0,0.0,313291.0,313291.0,2.0275538E7,0.0,2.0275538E7,2.0275538E7,RANSOMWARE_CHARGER
172.217.11.14-10.42.0.211-443-51393-6,10.42.0.211,51393,172.217.11.14,443,6,28/08/2017 04:23:54,19743446,15,12,9386.0,750.0,1368.0,0.0,625.7333333333333,654.44288921043,425.0,0.0,62.50000000000001,127.63976296949589,513.385555895359,1.3675424239517255,759363.3076923076,3809180.0472044353,1.9435269E7,14.0,1.9706571E7,1407612.2142857143,5188774.848412028,1.9435269E7,14.0,1.9706694E7,1791517.6363636365,5881062.391695182,1.952345E7,200.0,0,0,0,0,488,392,0.759745791084292,0.6077966328674336,0.0,1368.0,361.99999999999994,558.6400152751919,312078.6666666667,0,0,0,1,0,0,0,0,0.0,375.4074074074074,625.7333333333333,62.5,488,0,0,0,0,0,0,15,9386,12,750,65535,249,10,32,271302.0,0.0,271302.0,271302.0,1.9435269E7,0.0,1.9435269E7,1.9435269E7,RANSOMWARE_CHARGER
172.217.11.14-10.42.0.211-443-53326-6,10.42.0.211,53326,172.217.11.14,443,6,28/08/2017 04:23:58,16704655,9,10,1340.0,1009.0,908.0,0.0,148.88888888888889,297.7337083890756,450.0,0.0,100.9,157.55242513737028,140.61948600554757,1.1374075070691374,928036.3888888889,3848072.8742387732,1.6346822E7,37.0,1.6668225E7,2083528.125,5763325.401147015,1.6346822E7,6427.0,1.6667645E7,1851960.5555555555,5458029.972543163,1.6406362E7,37.0,0,0,0,0,296,328,0.5387719770327493,0.5986355300363881,0.0,908.0,117.44999999999995,224.54596880207657,50420.89210526315,0,0,0,1,0,0,0,0,1.0,123.63157894736842,148.88888888888889,100.9,296,0,0,0,0,0,0,9,1340,10,1009,65535,185,4,32,321403.0,0.0,321403.0,321403.0,1.6346822E7,0.0,1.6346822E7,1.6346822E7,RANSOMWARE_CHARGER
10.42.0.211-87.240.165.91-51125-80-6,10.42.0.211,51125,87.240.165.91,80,6,28/08/2017 04:24:33,11426501,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3500634183640294,3808833.6666666665,6471284.367011879,1.1280805E7,3894.0,1.1426501E7,5713250.5,7873711.083151356,1.1280805E7,145696.0,0,0,0,0,0,0,0,0,0,104,40,0.262547563773022,0.08751585459100734,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,27960,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-87.240.165.80-43985-80-6,10.42.0.211,43985,87.240.165.80,80,6,28/08/2017 04:24:33,11792926,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33918639021392993,3930975.3333333335,6689884.102886711,1.1655409E7,2481.0,1.1792926E7,5896463.0,8144379.5381742865,1.1655409E7,137517.0,0,0,0,0,0,0,0,0,0,104,40,0.2543897926604475,0.08479659755348248,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,27960,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
157.240.18.10-10.42.0.211-443-49408-6,10.42.0.211,49408,157.240.18.10,443,6,28/08/2017 04:24:45,56832,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,545.4673423423424,52.78716216216216,28416.0,40124.067191649454,56788.0,44.0,0,0,0,0,0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,32,64,17.59572072072072,35.19144144144144,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-31.13.69.197-50771-443-6,10.42.0.211,50771,31.13.69.197,443,6,28/08/2017 04:24:45,235318,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.499137337560237,235318.0,0.0,235318.0,235318.0,235318.0,235318.0,0.0,235318.0,235318.0,0,0,0,0,0,0,0,0,0,64,0,8.499137337560237,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-31.13.69.197-50771-443-6,10.42.0.211,50771,31.13.69.197,443,6,28/08/2017 04:24:46,959373,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.0846948996896932,959373.0,0.0,959373.0,959373.0,959373.0,959373.0,0.0,959373.0,959373.0,0,0,0,0,0,0,0,0,0,64,0,2.0846948996896932,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
172.217.10.10-10.42.0.211-443-55264-6,10.42.0.211,55264,172.217.10.10,443,6,28/08/2017 04:23:21,86375153,35,69,2284.0,89037.0,1015.0,0.0,65.25714285714287,239.31204621202187,1418.0,0.0,1290.3913043478253,359.2715349225801,1057.260066445266,1.2040499656191637,838593.7184466019,6186645.154201543,5.4986004E7,3.0,8.6375153E7,2540445.676470588,1.0670007562221132E7,5.4986004E7,6.0,3.129441E7,460211.911764706,3752436.4677311336,3.0948149E7,3.0,0,0,0,0,1128,2216,0.40520912304491086,0.7988408425742528,0.0,1418.0,869.7238095238096,667.5293784263513,445595.4710622709,0,0,0,1,0,0,0,0,1.0,878.0865384615385,65.25714285714285,1290.391304347826,1128,0,0,0,0,0,0,35,2284,69,89037,65535,192,4,32,359860.0,0.0,359860.0,359860.0,3.0869963E7,0.0,3.0869963E7,3.0869963E7,RANSOMWARE_CHARGER
10.42.0.211-31.13.69.197-50771-443-6,10.42.0.211,50771,31.13.69.197,443,6,28/08/2017 04:24:49,3850527,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5194094211000209,3850527.0,0.0,3850527.0,3850527.0,3850527.0,3850527.0,0.0,3850527.0,3850527.0,0,0,0,0,0,0,0,0,0,64,0,0.5194094211000209,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-88.212.196.75-53089-443-6,10.42.0.211,53089,88.212.196.75,443,6,28/08/2017 04:24:35,17836476,9,8,1453.0,4131.0,481.0,0.0,161.44444444444446,205.33576838382976,1448.0,0.0,516.3750000000001,593.1321070626437,313.0663254333423,0.9531030681172671,1114779.75,4227330.906651501,1.6965243E7,55.0,870907.0,108863.37499999999,88446.48236393335,192460.0,63.0,1.7687523E7,2526789.0,6383058.054645803,1.7001032E7,55.0,0,0,0,0,296,264,0.5045839772385532,0.4485190908787139,0.0,1448.0,310.22222222222223,449.5347340575397,202081.47712418297,0,0,0,1,0,0,0,0,0.0,328.47058823529414,161.44444444444446,516.375,296,0,0,0,0,0,0,9,1453,8,4131,65535,543,4,32,870907.0,0.0,870907.0,870907.0,1.6965243E7,0.0,1.6965243E7,1.6965243E7,RANSOMWARE_CHARGER
10.42.0.211-104.193.88.109-46412-80-6,10.42.0.211,46412,104.193.88.109,80,6,28/08/2017 04:25:10,182492,3,10,364.0,9743.0,364.0,0.0,121.33333333333333,210.15549798502377,1448.0,0.0,974.3000000000001,683.1824304922758,55383.249676698164,71.23599938627447,15207.666666666668,34157.69090378897,88516.0,1.0,90923.0,45461.5,63490.41077595892,90356.0,567.0,94381.0,10486.777777777777,30324.41827874765,91328.0,1.0,0,0,0,0,104,328,16.439076781447955,54.79692260482652,0.0,1448.0,721.9285714285713,708.6939736950276,502247.1483516484,0,0,0,1,0,0,0,0,3.0,777.4615384615385,121.33333333333333,974.3,104,0,0,0,0,0,0,3,364,10,9743,65535,3620,1,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-104.193.88.109-46413-80-6,10.42.0.211,46413,104.193.88.109,80,6,28/08/2017 04:25:10,182682,3,7,366.0,5372.0,366.0,0.0,122.0,211.31019852340302,1448.0,0.0,767.4285714285714,731.897045843393,31409.772172408884,54.73993058976801,20298.0,38455.34283750439,88361.0,3.0,91207.0,45603.5,62945.938554445274,90113.0,1094.0,94833.0,15805.5,37203.87803307607,91719.0,3.0,0,0,0,0,104,232,16.421979176930403,38.31795141283761,0.0,1448.0,521.6363636363637,669.1391892166043,447747.2545454546,0,0,0,1,0,0,0,0,2.0,573.8,122.0,767.4285714285714,104,0,0,0,0,0,0,3,366,7,5372,65535,3620,1,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-104.193.88.109-46412-80-6,10.42.0.211,46412,104.193.88.109,80,6,28/08/2017 04:25:10,4276,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1870.9073900841906,610.8571428571429,1580.9792775967926,4196.0,2.0,4276.0,610.8571428571429,1580.9792775967926,4196.0,2.0,0,0,0,0,0,0,0,0,0,256,0,1870.9073900841906,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,256,0,0,0,0,0,0,8,0,0,0,1414,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-104.193.88.109-46413-80-6,10.42.0.211,46413,104.193.88.109,80,6,28/08/2017 04:25:10,4651,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1075.0376263169212,1162.75,2012.2964286274193,4175.0,28.0,4651.0,1162.75,2012.2964286274193,4175.0,28.0,0,0,0,0,0,0,0,0,0,160,0,1075.0376263169212,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,160,0,0,0,0,0,0,5,0,0,0,1414,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
