Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
157.240.18.10-10.42.0.211-443-48478-6,10.42.0.211,48478,157.240.18.10,443,6,28/08/2017 02:19:52,54295,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,570.9549682291187,55.253706602817935,27147.5,38123.66210767271,54105.0,190.0,0,0,0,0,0,190.0,190.0,0.0,190.0,190.0,0,0,0,0,32,64,18.417902200939313,36.835804401878626,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-31.13.71.1-42881-443-6,10.42.0.211,42881,31.13.71.1,443,6,28/08/2017 02:19:52,216598,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9.233695601990783,216598.0,0.0,216598.0,216598.0,216598.0,216598.0,0.0,216598.0,216598.0,0,0,0,0,0,0,0,0,0,64,0,9.233695601990783,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-31.13.71.1-42881-443-6,10.42.0.211,42881,31.13.71.1,443,6,28/08/2017 02:19:53,922042,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.1690985876999096,922042.0,0.0,922042.0,922042.0,922042.0,922042.0,0.0,922042.0,922042.0,0,0,0,0,0,0,0,0,0,64,0,2.1690985876999096,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-31.13.71.1-42881-443-6,10.42.0.211,42881,31.13.71.1,443,6,28/08/2017 02:19:55,3679063,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5436166763113325,3679063.0,0.0,3679063.0,3679063.0,3679063.0,3679063.0,0.0,3679063.0,3679063.0,0,0,0,0,0,0,0,0,0,64,0,0.5436166763113325,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
180.149.138.197-10.42.0.211-80-37257-6,10.42.0.211,37257,180.149.138.197,80,6,28/08/2017 02:20:10,502269,3,4,370.0,438.0,370.0,0.0,123.33333333333333,213.61959960016154,438.0,0.0,109.5,219.0,1608.6997206676106,13.936755005783754,83711.5,128355.87992881355,249819.0,68.0,251838.0,125919.0,177101.9644159827,251149.0,689.0,253257.0,84419.0,145688.1839786604,252645.0,68.0,0,0,0,0,80,92,5.972895002478752,7.963860003305003,0.0,438.0,100.99999999999999,187.89662811541578,35305.142857142855,0,0,0,1,0,0,0,0,1.0,115.42857142857143,123.33333333333333,109.5,80,0,0,0,0,0,0,3,370,4,438,65535,123,1,20,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
195.22.126.163-10.42.0.211-80-48281-6,195.22.126.163,80,10.42.0.211,48281,6,28/08/2017 02:19:50,20419223,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14692037987929316,1.02096115E7,1.417846323461441E7,2.0235299E7,183924.0,0,0,0,0,0,2.0235299E7,2.0235299E7,0.0,2.0235299E7,2.0235299E7,0,0,0,0,32,64,0.04897345995976439,0.09794691991952878,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,122,1386,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
180.149.138.197-10.42.0.211-80-37257-6,10.42.0.211,37257,180.149.138.197,80,6,28/08/2017 02:20:11,275,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7272.727272727272,275.0,0.0,275.0,275.0,275.0,275.0,0.0,275.0,275.0,0,0,0,0,0,0,0,0,0,40,0,7272.727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-123.59.190.237-59544-80-6,10.42.0.211,59544,123.59.190.237,80,6,28/08/2017 02:20:11,656032,3,7,386.0,6991.0,386.0,0.0,128.66666666666666,222.85720390719553,1460.0,0.0,998.7142857142858,691.5187908475359,11244.87829861958,15.24315887029901,72892.44444444444,120129.78744061683,282933.0,8.0,355242.0,177621.0,251182.71345377254,355234.0,8.0,378874.0,63145.666666666664,146092.17942198913,361017.0,28.0,0,0,0,0,80,144,4.572947661089703,10.670211209209308,0.0,1460.0,670.6363636363636,710.838416621847,505291.2545454546,0,0,0,1,0,0,0,0,2.0,737.7,128.66666666666666,998.7142857142857,80,0,0,0,0,0,0,3,386,7,6991,65535,8190,1,20,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-123.59.190.237-59544-80-6,10.42.0.211,59544,123.59.190.237,80,6,28/08/2017 02:20:11,1761,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2839.2958546280524,440.25,740.5310594431539,1545.0,13.0,1761.0,440.25,740.5310594431539,1545.0,13.0,0,0,0,0,0,0,0,0,0,100,0,2839.2958546280524,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,100,0,0,0,0,0,0,5,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-14.29.93.254-32971-80-6,10.42.0.211,32971,14.29.93.254,80,6,28/08/2017 02:20:14,502531,5,3,390.0,438.0,390.0,0.0,78.0,174.41330224498358,438.0,0.0,146.0,252.87941790505607,1647.659547371207,15.91941591663002,71790.14285714286,118117.52123546076,244790.0,95.0,502531.0,125632.75,144668.59762545797,254752.0,95.0,254909.0,127454.5,168853.5638134416,246852.0,8057.0,0,0,0,0,120,64,9.949634947893763,5.9697809687362575,0.0,438.0,92.0,182.9508130618719,33471.0,0,0,0,1,0,0,0,0,0.0,103.5,78.0,146.0,120,0,0,0,0,0,0,5,390,3,438,65535,8190,1,20,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
180.149.138.210-10.42.0.211-80-55085-6,10.42.0.211,55085,180.149.138.210,80,6,28/08/2017 02:20:15,579306,3,8,552.0,7865.0,552.0,0.0,184.0,318.69734859267345,1460.0,0.0,983.125,680.8552263776156,14529.454209001806,18.98823764987761,57930.60000000001,115413.94901560979,276711.0,8.0,278829.0,139414.5,196747.51211768854,278536.0,293.0,303027.0,43289.57142857143,104409.06307222112,279261.0,8.0,0,0,0,0,80,172,5.178610268148439,13.809627381729173,0.0,1460.0,701.4166666666667,699.2271653675068,488918.6287878787,0,0,0,1,0,0,0,0,2.0,765.1818181818181,184.0,983.125,80,0,0,0,0,0,0,3,552,8,7865,65535,123,1,20,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
180.149.138.210-10.42.0.211-80-55085-6,10.42.0.211,55085,180.149.138.210,80,6,28/08/2017 02:20:15,3173,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1260.6366214938544,1057.6666666666667,1318.573597996461,2565.0,118.0,3173.0,1057.6666666666667,1318.573597996461,2565.0,118.0,0,0,0,0,0,0,0,0,0,92,0,1260.6366214938544,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,92,0,0,0,0,0,0,4,0,0,0,1415,-1,0,20,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-123.125.29.138-43174-80-6,10.42.0.211,43174,123.125.29.138,80,6,28/08/2017 02:20:15,611358,3,4,453.0,1061.0,453.0,0.0,151.0,261.5396719429005,1061.0,0.0,265.25,530.5,2476.4540580151074,11.44991968699191,101893.0,156217.06923380683,304903.0,15.0,307879.0,153939.5,216788.3325100777,307232.0,647.0,306455.0,102151.66666666666,175845.2173058265,305199.0,15.0,0,0,0,0,80,92,4.907108437282248,6.542811249709663,0.0,1061.0,189.25,386.2651753838103,149200.7857142857,0,0,0,1,0,0,0,0,1.0,216.28571428571428,151.0,265.25,80,0,0,0,0,0,0,3,453,4,1061,65535,123,1,20,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
10.42.0.211-123.125.29.138-43174-80-6,10.42.0.211,43174,123.125.29.138,80,6,28/08/2017 02:20:16,749,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2670.22696929239,749.0,0.0,749.0,749.0,749.0,749.0,0.0,749.0,749.0,0,0,0,0,0,0,0,0,0,40,0,2670.22696929239,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1402,-1,0,20,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
219.142.78.162-10.42.0.211-80-45826-6,10.42.0.211,45826,219.142.78.162,80,6,28/08/2017 02:20:15,532140,3,3,450.0,317.0,450.0,0.0,150.0,259.8076211353316,317.0,0.0,105.66666666666667,183.02003533311137,1441.350020671252,11.275228323373549,106428.0,143392.41510449568,265068.0,320.0,264525.0,132262.5,186594.8729534121,264205.0,320.0,270210.0,135105.0,187465.32140105273,267663.0,2547.0,0,0,0,0,80,72,5.637614161686774,5.637614161686774,0.0,450.0,109.57142857142857,191.02692405597102,36491.28571428572,0,0,0,1,0,0,0,0,1.0,127.83333333333333,150.0,105.66666666666667,80,0,0,0,0,0,0,3,450,3,317,65535,123,1,20,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
180.76.148.209-10.42.0.211-80-37489-6,10.42.0.211,37489,180.76.148.209,80,6,28/08/2017 02:20:15,599799,3,4,442.0,840.0,442.0,0.0,147.33333333333334,255.1888189818146,840.0,0.0,210.0,420.0,2137.3826898677726,11.670576309730427,99966.5,153701.7938616853,300482.0,59.0,303166.0,151583.0,213619.78702358075,302635.0,531.0,299317.0,99772.33333333334,172512.00909598536,298972.0,59.0,0,0,0,0,104,136,5.00167556131304,6.668900748417387,0.0,840.0,160.25000000000003,315.2150059879764,99360.5,0,0,0,1,0,0,0,0,1.0,183.14285714285714,147.33333333333334,210.0,104,0,0,0,0,0,0,3,442,4,840,65535,400,1,32,0,0,0,0,0,0,0,0,RANSOMWARE_CHARGER
