Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.10-10.42.0.211-443-47455-6,10.42.0.211,47455,172.217.11.10,443,6,21/08/2017 04:30:59,36833,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.29913392881384,36833.0,0.0,36833.0,36833.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.14956696440692,27.14956696440692,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,170,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
172.217.11.10-10.42.0.211-443-43165-6,10.42.0.211,43165,172.217.11.10,443,6,21/08/2017 04:30:59,36822,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3153549508446,36822.0,0.0,36822.0,36822.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.1576774754223,27.1576774754223,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,181,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
172.217.11.10-10.42.0.211-443-49180-6,10.42.0.211,49180,172.217.11.10,443,6,21/08/2017 04:31:02,36562,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.70160275696078,36562.0,0.0,36562.0,36562.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.35080137848039,27.35080137848039,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4351,192,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
172.217.12.195-10.42.0.211-443-59670-6,10.42.0.211,59670,172.217.12.195,443,6,21/08/2017 04:30:51,18865537,6,4,735.0,166.0,519.0,0.0,122.5,212.59327364712178,166.0,0.0,41.5,83.0,47.759043381590466,0.5300670741574969,2096170.7777777778,6224301.033519602,1.8694172E7,606.0,1.8865537E7,3773107.4,8383813.573901873,1.8770492E7,606.0,134340.0,44780.0,44721.61190073542,90125.0,709.0,0,0,0,0,200,136,0.3180402444944981,0.21202682966299874,0.0,519.0,81.90909090909092,164.24765115243173,26977.290909090905,0,0,0,1,0,0,0,0,0.0,90.1,122.5,41.5,200,0,0,0,0,0,0,6,735,4,166,65535,175,2,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
172.217.12.195-10.42.0.211-443-59672-6,10.42.0.211,59672,172.217.12.195,443,6,21/08/2017 04:30:51,18866266,6,4,735.0,166.0,519.0,0.0,122.5,212.59327364712178,166.0,0.0,41.5,83.0,47.75719795321449,0.5300465921555436,2096251.7777777778,6222492.887706498,1.8689435E7,578.0,1.8866266E7,3773253.2,8381029.250972472,1.8765659E7,578.0,139923.0,46641.0,47600.09680662425,95681.0,625.0,0,0,0,0,200,136,0.3180279552933262,0.21201863686221747,0.0,519.0,81.90909090909092,164.24765115243173,26977.290909090905,0,0,0,1,0,0,0,0,0.0,90.1,122.5,41.5,200,0,0,0,0,0,0,6,735,4,166,65535,175,2,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
172.217.11.10-10.42.0.211-443-58353-6,172.217.11.10,443,10.42.0.211,58353,6,21/08/2017 04:31:31,43,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,1279069.7674418604,46511.62790697674,43.0,0.0,43.0,43.0,43.0,43.0,0.0,43.0,43.0,0,0,0,0,0,1,0,0,0,64,0,46511.62790697674,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,1,0,0,1,0,0,0,0.0,55.0,27.5,0.0,64,0,0,0,0,0,0,2,55,0,0,176,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
172.217.11.10-10.42.0.211-443-58353-6,10.42.0.211,58353,172.217.11.10,443,6,21/08/2017 04:31:31,32359,4,0,61.0,0.0,38.0,0.0,15.25,18.64358692240668,0,0,0,0,1885.101517352205,123.61321425260361,10786.333333333332,15774.481364955658,28990.0,1133.0,32359.0,10786.333333333332,15774.481364955658,28990.0,1133.0,0,0,0,0,0,0,0,0,0,128,0,123.61321425260361,0.0,0.0,38.0,12.2,17.527121840165314,307.2,0,0,0,0,1,0,0,0,0.0,15.25,15.25,0.0,128,0,0,0,0,0,0,4,61,0,0,2363,-1,2,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
172.217.11.14-10.42.0.211-443-52288-6,10.42.0.211,52288,172.217.11.14,443,6,21/08/2017 04:31:33,36762,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.6460475490995,54.40400413470431,36762.0,0.0,36762.0,36762.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.202002067352154,27.202002067352154,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,185,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
172.217.11.10-10.42.0.211-443-55468-6,10.42.0.211,55468,172.217.11.10,443,6,21/08/2017 04:31:35,36791,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,842.5973743578593,81.54168138947026,18395.5,25993.952383198673,36776.0,15.0,0,0,0,0,0,15.0,15.0,0.0,15.0,15.0,1,0,0,0,32,64,27.180560463156752,54.361120926313504,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1656,213,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
172.217.11.14-10.42.0.211-443-43953-6,10.42.0.211,43953,172.217.11.14,443,6,21/08/2017 04:31:38,36837,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,624.3722344382007,81.43985666585226,18418.5,25728.08023347253,36611.0,226.0,0,0,0,0,0,226.0,226.0,0.0,226.0,226.0,1,0,0,0,32,64,27.14661888861742,54.29323777723484,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1453,196,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
