Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.170-10.42.0.211-443-54173-6,10.42.0.211,54173,172.217.12.170,443,6,21/08/2017 01:01:28,36539,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,848.4085497687402,54.73603546895098,36539.0,0.0,36539.0,36539.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.36801773447549,27.36801773447549,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1729,213,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
172.217.9.225-10.42.0.211-443-33934-6,10.42.0.211,33934,172.217.9.225,443,6,21/08/2017 01:01:28,36742,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.433618202601934,36742.0,0.0,36742.0,36742.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.216809101300967,27.216809101300967,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
172.217.10.228-10.42.0.211-443-51836-6,10.42.0.211,51836,172.217.10.228,443,6,21/08/2017 01:01:28,36691,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.50928020495489,36691.0,0.0,36691.0,36691.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.254640102477445,27.254640102477445,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,175,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
216.58.219.234-10.42.0.211-443-53250-6,10.42.0.211,53250,216.58.219.234,443,6,21/08/2017 01:01:28,36670,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.540496318516496,36670.0,0.0,36670.0,36670.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.270248159258248,27.270248159258248,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,179,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
10.42.0.211-31.13.71.37-52537-443-6,31.13.71.37,443,10.42.0.211,52537,6,21/08/2017 01:01:30,55,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,763636.3636363636,36363.63636363636,55.0,0.0,55.0,55.0,55.0,55.0,0.0,55.0,55.0,0,0,0,0,0,1,0,0,0,64,0,36363.63636363636,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,132,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
10.42.0.211-31.13.71.37-52537-443-6,10.42.0.211,52537,31.13.71.37,443,6,21/08/2017 01:01:30,1088,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,38602.94117647059,2757.3529411764707,544.0,578.4133470105959,953.0,135.0,1088.0,544.0,578.4133470105959,953.0,135.0,0,0,0,0,0,0,0,0,0,96,0,2757.3529411764707,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1436,-1,1,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
172.217.10.14-10.42.0.211-443-37834-6,10.42.0.211,37834,172.217.10.14,443,6,21/08/2017 01:01:30,120,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,258333.3333333333,16666.666666666668,120.0,0.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,0,0,0,0,0,1,0,0,0,64,0,16666.666666666668,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1683,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
172.217.10.14-10.42.0.211-443-37834-6,172.217.10.14,443,10.42.0.211,37834,6,21/08/2017 01:01:30,638,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3134.796238244514,638.0,0.0,638.0,638.0,638.0,638.0,0.0,638.0,638.0,0,0,0,0,0,0,0,0,0,64,0,3134.796238244514,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,175,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
131.253.61.64-10.42.0.211-443-46460-6,10.42.0.211,46460,131.253.61.64,443,6,21/08/2017 01:01:30,585777,9,13,1011.0,12262.0,581.0,0.0,112.33333333333334,198.89067348671733,1460.0,0.0,943.2307692307693,690.9075135701538,22658.793363344754,37.55695426757964,27894.14285714286,43725.34117909855,173677.0,5.0,532121.0,66515.125,57024.713082355796,173677.0,497.0,539668.0,44972.333333333336,82710.76156795751,233897.0,5.0,0,0,0,0,200,268,15.364208564009854,22.192745703569788,0.0,1460.0,577.0869565217391,676.3702531658151,457476.7193675889,0,0,0,1,0,0,0,0,1.0,603.3181818181819,112.33333333333333,943.2307692307693,200,0,0,0,0,0,0,9,1011,13,12262,65535,63441,3,20,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
131.253.61.64-10.42.0.211-443-46460-6,10.42.0.211,46460,131.253.61.64,443,6,21/08/2017 01:01:30,6672,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,599.5203836930456,2224.0,3230.9930362041946,5944.0,118.0,6672.0,2224.0,3230.9930362041946,5944.0,118.0,0,0,0,0,0,0,0,0,0,80,0,599.5203836930456,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,4,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,RANSOMWARE_JISUT
