Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.9.234-10.42.0.211-443-39195-6,10.42.0.211,39195,172.217.9.234,443,6,24/08/2017 12:03:36,36601,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6433157564001,36601.0,0.0,36601.0,36601.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.32165787820005,27.32165787820005,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,179,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
172.217.10.97-10.42.0.211-443-46466-6,10.42.0.211,46466,172.217.10.97,443,6,24/08/2017 12:03:36,37045,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.98839249561344,37045.0,0.0,37045.0,37045.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.99419624780672,26.99419624780672,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
216.58.219.196-10.42.0.211-443-47823-6,10.42.0.211,47823,216.58.219.196,443,6,24/08/2017 12:03:36,37152,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.83290267011198,37152.0,0.0,37152.0,37152.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.91645133505599,26.91645133505599,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,175,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
208.80.154.224-10.42.0.211-80-39388-6,10.42.0.211,39388,208.80.154.224,80,6,24/08/2017 12:03:37,5091330,4,4,372.0,490.0,372.0,0.0,93.0,186.0,490.0,0.0,122.5,245.00000000000003,169.30743047494465,1.5712986587001825,727332.8571428573,1883110.6871779498,4997704.0,244.0,93626.0,31208.666666666668,29753.19522897219,60343.0,873.0,5062102.0,1687367.3333333333,2869618.5766774532,5000731.0,244.0,0,0,0,0,136,136,0.7856493293500912,0.7856493293500912,0.0,490.0,95.77777777777779,192.32900052889696,36990.444444444445,0,0,0,1,0,0,0,0,1.0,107.75,93.0,122.5,136,0,0,0,0,0,0,4,372,4,490,65535,59,1,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
10.42.0.211-74.125.29.102-51831-443-6,10.42.0.211,51831,74.125.29.102,443,6,24/08/2017 12:03:43,290,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,79310.3448275862,6896.551724137931,290.0,0.0,290.0,290.0,290.0,290.0,0.0,290.0,290.0,0,0,0,0,0,1,0,0,0,64,0,6896.551724137931,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
172.217.9.234-10.42.0.211-443-39227-6,10.42.0.211,39227,172.217.9.234,443,6,24/08/2017 12:03:47,37410,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.46164127238706,37410.0,0.0,37410.0,37410.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.73082063619353,26.73082063619353,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,170,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
208.80.154.224-10.42.0.211-80-39388-6,10.42.0.211,39388,208.80.154.224,80,6,24/08/2017 12:03:42,4987340,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.40101537091916734,4987340.0,0.0,4987340.0,4987340.0,4987340.0,4987340.0,0.0,4987340.0,4987340.0,0,0,0,0,0,0,0,0,0,64,0,0.40101537091916734,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
172.217.3.110-10.42.0.211-443-41051-6,10.42.0.211,41051,172.217.3.110,443,6,24/08/2017 12:03:49,37492,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,613.4642056972154,53.3447135388883,37492.0,0.0,37492.0,37492.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.67235676944415,26.67235676944415,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,249,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
172.217.9.234-10.42.0.211-443-48863-6,10.42.0.211,48863,172.217.9.234,443,6,24/08/2017 12:03:50,38137,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.442509898523745,38137.0,0.0,38137.0,38137.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.221254949261873,26.221254949261873,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2904,181,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
172.217.3.110-10.42.0.211-443-32891-6,10.42.0.211,32891,172.217.3.110,443,6,24/08/2017 12:04:02,37390,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,615.1377373629313,53.490238031559244,37390.0,0.0,37390.0,37390.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.745119015779622,26.745119015779622,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,185,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
