Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.170-10.42.0.211-443-46094-6,10.42.0.211,46094,172.217.12.170,443,6,24/08/2017 01:13:32,37540,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.27650506126798,37540.0,0.0,37540.0,37540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.63825253063399,26.63825253063399,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,170,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
172.217.7.14-10.42.0.211-443-44033-6,10.42.0.211,44033,172.217.7.14,443,6,24/08/2017 01:13:35,48919,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,470.1649665774035,40.88391013716552,48919.0,0.0,48919.0,48919.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,20.44195506858276,20.44195506858276,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,185,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
157.240.18.10-10.42.0.211-443-47877-6,10.42.0.211,47877,157.240.18.10,443,6,24/08/2017 01:13:49,79949,1,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,387.7471888328809,50.03189533327496,26649.666666666664,43173.642124950886,76462.0,8.0,0,0,0,0,0,3487.0,1743.5,2454.3676374985066,3479.0,8.0,0,0,0,0,32,96,12.50797383331874,37.52392149995622,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,1,0,0,3.0,7.75,0.0,10.333333333333334,32,0,0,0,0,0,0,1,0,3,31,1550,122,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
10.42.0.211-31.13.80.8-39989-443-6,10.42.0.211,39989,31.13.80.8,443,6,24/08/2017 01:13:49,247486,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.081265202880163,247486.0,0.0,247486.0,247486.0,247486.0,247486.0,0.0,247486.0,247486.0,0,0,0,0,0,0,0,0,0,64,0,8.081265202880163,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
157.240.18.10-10.42.0.211-443-47877-6,157.240.18.10,443,10.42.0.211,47877,6,24/08/2017 01:13:49,71367,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.02415682318158,71367.0,0.0,71367.0,71367.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,14.01207841159079,14.01207841159079,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,122,1550,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
172.217.12.170-10.42.0.211-443-41052-6,10.42.0.211,41052,172.217.12.170,443,6,24/08/2017 01:13:50,36640,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,846.0698689956332,54.58515283842795,36640.0,0.0,36640.0,36640.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.292576419213976,27.292576419213976,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1864,213,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
10.42.0.211-31.13.80.8-39989-443-6,10.42.0.211,39989,31.13.80.8,443,6,24/08/2017 01:13:49,910578,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.1964071172376225,910578.0,0.0,910578.0,910578.0,910578.0,910578.0,0.0,910578.0,910578.0,0,0,0,0,0,0,0,0,0,64,0,2.1964071172376225,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
172.217.7.14-10.42.0.211-443-40791-6,10.42.0.211,40791,172.217.7.14,443,6,24/08/2017 01:13:52,48584,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,473.40688292441956,41.165815906471266,48584.0,0.0,48584.0,48584.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,20.582907953235633,20.582907953235633,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1486,196,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
10.42.0.211-31.13.80.8-39989-443-6,10.42.0.211,39989,31.13.80.8,443,6,24/08/2017 01:13:52,3698558,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5407512873936275,3698558.0,0.0,3698558.0,3698558.0,3698558.0,3698558.0,0.0,3698558.0,3698558.0,0,0,0,0,0,0,0,0,0,64,0,0.5407512873936275,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
172.217.12.142-10.42.0.211-80-40324-6,172.217.12.142,80,10.42.0.211,40324,6,24/08/2017 01:14:04,243655,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.208327348094642,243655.0,0.0,243655.0,243655.0,243655.0,243655.0,0.0,243655.0,243655.0,0,0,0,0,0,0,0,0,0,64,0,8.208327348094642,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,170,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_LOCKERPIN
