Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.142-10.42.0.151-443-52501-6,10.42.0.151,52501,172.217.12.142,443,6,24/08/2017 02:42:57,10,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,2300000.0,199999.99999999997,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0,0,0,0,0,1,0,0,0,64,0,199999.99999999997,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
172.217.12.142-10.42.0.151-443-48700-6,10.42.0.151,48700,172.217.12.142,443,6,24/08/2017 02:42:57,36752,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.8162821070962,54.4188071397475,36752.0,0.0,36752.0,36752.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.20940356987375,27.20940356987375,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1411,260,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
157.240.2.36-10.42.0.151-443-48144-6,157.240.2.36,443,10.42.0.151,48144,6,24/08/2017 02:43:00,37,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1135135.1351351351,54054.05405405405,37.0,0.0,37.0,37.0,37.0,37.0,0.0,37.0,37.0,0,0,0,0,0,1,0,0,0,64,0,54054.05405405405,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,131,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
157.240.2.36-10.42.0.151-443-48144-6,157.240.2.36,443,10.42.0.151,48144,6,24/08/2017 02:43:01,15746,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,2667.3440873872732,317.54096278419917,3936.4999999999995,7465.503890115746,15133.0,102.0,0,0,0,0,0,613.0,204.33333333333334,161.90841032303828,391.0,102.0,0,0,0,0,32,140,63.50819255683984,254.03277022735935,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,131,1436,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
172.217.12.142-10.42.0.151-443-46705-6,10.42.0.151,46705,172.217.12.142,443,6,24/08/2017 02:43:02,289407,6,8,1341.0,1709.0,773.0,0.0,223.5,336.95860279862274,1418.0,0.0,213.62500000000003,491.0618051005102,10538.791390671267,48.3747801539009,22262.076923076922,27775.61692822663,75953.0,14.0,230284.0,46056.8,60815.37647832166,149575.0,672.0,252974.0,36139.142857142855,43633.26038482025,110257.0,14.0,0,0,0,0,200,264,20.7320486373861,27.642731516514804,0.0,1418.0,203.33333333333334,405.3507593371919,164309.23809523808,0,0,0,1,0,0,0,0,1.0,217.85714285714286,223.5,213.625,200,0,0,0,0,0,0,6,1341,8,1709,65535,176,3,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
172.217.12.142-10.42.0.151-443-46705-6,10.42.0.151,46705,172.217.12.142,443,6,24/08/2017 02:43:03,34706,3,1,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,893.2173111277589,115.25384659713018,11568.666666666666,18670.841473627625,33124.0,436.0,1582.0,791.0,502.04581464244876,1146.0,436.0,0,0,0,0,0,0,0,0,0,96,32,86.44038494784763,28.813461649282544,0.0,31.0,6.2,13.863621460498697,192.20000000000002,0,0,0,0,1,0,0,0,0.0,7.75,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,1,0,1414,176,1,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
206.126.112.140-10.42.0.151-443-59050-6,10.42.0.151,59050,206.126.112.140,443,6,24/08/2017 02:43:03,594239,232,934,1016.0,1340703.0,627.0,0.0,4.379310344827581,44.59246052252613,1448.0,0.0,1435.4421841541757,116.9886463923768,2257877.7225998295,1962.1734689241198,510.0763948497853,2999.252190330701,82338.0,2.0,594239.0,2572.463203463203,8880.091972554757,120563.0,5.0,565872.0,606.5080385852092,3774.983860237467,87831.0,3.0,0,0,0,0,7432,29896,390.4153042799278,1571.758164644192,0.0,1448.0,1149.7163667523541,582.1372589564661,338883.7882653477,0,0,0,1,0,0,0,0,4.0,1150.7024013722128,4.379310344827586,1435.4421841541755,7432,0,0,0,0,0,0,232,1016,934,1340703,65535,123,4,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
172.217.10.74-10.42.0.151-443-59454-6,10.42.0.151,59454,172.217.10.74,443,6,24/08/2017 02:43:05,36481,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.82305857843809,36481.0,0.0,36481.0,36481.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.411529289219047,27.411529289219047,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,170,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
172.217.10.74-10.42.0.151-443-56656-6,10.42.0.151,56656,172.217.10.74,443,6,24/08/2017 02:43:14,119,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,260504.20168067227,16806.72268907563,119.0,0.0,119.0,119.0,119.0,119.0,0.0,119.0,119.0,0,0,0,0,0,1,0,0,0,64,0,16806.72268907563,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,2034,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
10.42.0.151-31.13.69.195-60683-443-6,10.42.0.151,60683,31.13.69.195,443,6,24/08/2017 02:43:14,227730,6,7,1081.0,201.0,537.0,0.0,180.16666666666666,260.4837167015756,137.0,0.0,28.714285714285715,50.07898523237828,5629.47349931937,57.08514468888596,18977.5,32722.06041384425,111180.0,13.0,81402.0,16280.4,20092.3902336183,39204.0,29.0,192468.0,32078.0,43511.26754301695,111180.0,13.0,0,0,0,0,200,232,26.346989856408907,30.738154832477058,0.0,537.0,91.57142857142857,183.43798544874642,33649.494505494506,0,0,0,1,0,0,0,0,1.0,98.61538461538461,180.16666666666666,28.714285714285715,200,0,0,0,0,0,0,6,1081,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
