Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.1.174-10.42.0.151-443-48294-6,10.42.0.151,48294,172.217.1.174,443,6,24/08/2017 04:01:32,276282,6,8,1341.0,1709.0,773.0,0.0,223.5,336.95860279862274,1418.0,0.0,213.62500000000003,491.0618051005102,11039.445204537391,50.672863233942124,21252.46153846154,30555.19882010093,103140.0,13.0,223626.0,44725.2,68915.65165983704,165944.0,741.0,253682.0,36240.28571428572,46212.550833852794,125819.0,13.0,0,0,0,0,200,264,21.716941385975197,28.95592184796693,0.0,1418.0,203.33333333333334,405.3507593371919,164309.23809523808,0,0,0,1,0,0,0,0,1.0,217.85714285714286,223.5,213.625,200,0,0,0,0,0,0,6,1341,8,1709,65535,176,3,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
172.217.1.174-10.42.0.151-443-46072-6,10.42.0.151,46072,172.217.1.174,443,6,24/08/2017 04:01:33,22716,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1012.5022010917415,132.06550449022714,11358.0,16025.868088811912,22690.0,26.0,0,0,0,0,0,26.0,26.0,0.0,26.0,26.0,1,0,0,0,32,64,44.02183483007572,88.04366966015144,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1403,185,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
206.126.112.140-10.42.0.151-443-35191-6,10.42.0.151,35191,206.126.112.140,443,6,24/08/2017 04:01:33,963853,171,940,1142.0,1340703.0,627.0,0.0,6.678362573099418,52.694419279326105,1448.0,0.0,1426.2797872340439,148.77334225336506,1392167.6853213094,1152.6653960718077,868.3360360360357,8735.991913150743,197674.0,0.0,963853.0,5669.723529411763,24701.707622979407,221359.0,5.0,935447.0,996.2161874334406,10290.635024526448,217594.0,3.0,0,0,0,0,5480,30100,177.4129457500262,975.2524503217815,0.0,1448.0,1206.6951438848912,531.8672621687258,282882.78456685605,0,0,0,1,0,0,0,0,5.0,1207.7812781278128,6.678362573099415,1426.2797872340425,5480,0,0,0,0,0,0,171,1142,940,1340703,65535,123,5,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
157.240.2.36-10.42.0.151-443-53040-6,157.240.2.36,443,10.42.0.151,53040,6,24/08/2017 04:01:35,35,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1200000.0,57142.857142857145,35.0,0.0,35.0,35.0,35.0,35.0,0.0,35.0,35.0,0,0,0,0,0,1,0,0,0,64,0,57142.857142857145,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,131,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
157.240.2.36-10.42.0.151-443-53040-6,10.42.0.151,53040,157.240.2.36,443,6,24/08/2017 04:01:35,1133,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,37069.726390114745,2647.8375992939104,566.5,382.54476862192223,837.0,296.0,1133.0,566.5,382.54476862192223,837.0,296.0,0,0,0,0,0,0,0,0,0,96,0,2647.8375992939104,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1437,-1,1,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
172.217.10.234-10.42.0.151-443-37461-6,10.42.0.151,37461,172.217.10.234,443,6,24/08/2017 04:01:35,79,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,392405.06329113926,25316.455696202534,79.0,0.0,79.0,79.0,79.0,79.0,0.0,79.0,79.0,0,0,0,0,0,1,0,0,0,64,0,25316.455696202534,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1623,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
172.217.10.234-10.42.0.151-443-55414-6,10.42.0.151,55414,172.217.10.234,443,6,24/08/2017 04:01:35,37103,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.903996981376174,37103.0,0.0,37103.0,37103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.951998490688087,26.951998490688087,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,170,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
172.217.10.234-10.42.0.151-443-45304-6,10.42.0.151,45304,172.217.10.234,443,6,24/08/2017 04:01:37,36735,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.44399074452158,36735.0,0.0,36735.0,36735.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.22199537226079,27.22199537226079,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1901,189,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
172.217.10.234-10.42.0.151-443-48714-6,10.42.0.151,48714,172.217.10.234,443,6,24/08/2017 04:01:42,36710,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.48106782892945,36710.0,0.0,36710.0,36710.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.240533914464724,27.240533914464724,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2078,179,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
172.217.1.174-10.42.0.151-443-37392-6,10.42.0.151,37392,172.217.1.174,443,6,24/08/2017 04:01:44,61,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,508196.72131147544,32786.88524590164,61.0,0.0,61.0,61.0,61.0,61.0,0.0,61.0,61.0,0,0,0,0,0,1,0,0,0,64,0,32786.88524590164,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1635,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_SIMPLOCKER
