Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
157.240.2.36-10.42.0.151-443-51961-6,157.240.2.36,443,10.42.0.151,51961,6,21/08/2017 10:13:40,38,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1105263.1578947369,52631.57894736842,38.0,0.0,38.0,38.0,38.0,38.0,0.0,38.0,38.0,0,0,0,0,0,1,0,0,0,64,0,52631.57894736842,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,131,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
157.240.2.36-10.42.0.151-443-51961-6,10.42.0.151,51961,157.240.2.36,443,6,21/08/2017 10:13:40,2301,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,18252.933507170794,1303.7809647979138,1150.5,376.8879143724298,1417.0,884.0,2301.0,1150.5,376.8879143724298,1417.0,884.0,0,0,0,0,0,0,0,0,0,96,0,1303.7809647979138,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1436,-1,1,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
131.253.61.66-10.42.0.151-443-42453-6,10.42.0.151,42453,131.253.61.66,443,6,21/08/2017 10:13:53,378899,9,11,997.0,10394.0,613.0,0.0,110.77777777777777,205.9282507196243,1460.0,0.0,944.9090909090909,660.4953375377384,30063.420594934272,52.7845151346401,19942.05263157895,27185.442216323725,93225.0,6.0,325907.0,40738.37499999999,50533.76733556484,139592.0,190.0,332532.0,33253.2,54462.7823621069,140385.0,6.0,0,0,0,0,200,228,23.75303181058805,29.031483324052058,0.0,1460.0,542.4285714285713,650.1853252287821,422740.9571428571,0,0,0,1,0,0,0,0,1.0,569.55,110.77777777777777,944.9090909090909,200,0,0,0,0,0,0,9,997,11,10394,65535,63445,3,20,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
131.253.61.66-10.42.0.151-443-42453-6,10.42.0.151,42453,131.253.61.66,443,6,21/08/2017 10:13:54,9730,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,513.874614594039,2432.5,4412.205835331499,9047.0,102.0,9730.0,2432.5,4412.205835331499,9047.0,102.0,0,0,0,0,0,0,0,0,0,100,0,513.874614594039,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,100,0,0,0,0,0,0,5,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
172.217.12.170-10.42.0.151-443-36548-6,10.42.0.151,36548,172.217.12.170,443,6,21/08/2017 10:14:04,36775,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.384772263766145,36775.0,0.0,36775.0,36775.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.192386131883072,27.192386131883072,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,170,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
10.42.0.151-31.13.69.195-34240-443-6,10.42.0.151,34240,31.13.69.195,443,6,21/08/2017 10:14:09,312845,7,8,1082.0,338.0,537.0,0.0,154.57142857142856,247.57480831919412,137.0,0.0,42.25,60.127839998266545,4538.988956192364,47.94706643865173,22346.071428571428,36096.71608004995,112251.0,9.0,197043.0,32840.5,48381.715164925685,125044.0,97.0,277545.0,39649.28571428572,53320.20715986978,117715.0,9.0,0,0,0,0,244,264,22.37529767137081,25.571768767280922,0.0,537.0,88.74999999999999,172.92946538979413,29904.600000000002,0,0,0,1,0,0,0,0,1.0,94.66666666666667,154.57142857142858,42.25,244,0,0,0,0,0,0,7,1082,8,338,65535,122,3,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
172.217.12.170-10.42.0.151-443-35556-6,10.42.0.151,35556,172.217.12.170,443,6,21/08/2017 10:14:17,38765,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.59293176834773,38765.0,0.0,38765.0,38765.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,25.796465884173866,25.796465884173866,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1901,189,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
172.217.12.170-10.42.0.151-443-32980-6,10.42.0.151,32980,172.217.12.170,443,6,21/08/2017 10:14:28,565,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,54867.256637168146,3539.823008849558,565.0,0.0,565.0,565.0,565.0,565.0,0.0,565.0,565.0,0,0,0,0,0,1,0,0,0,64,0,3539.823008849558,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1873,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
172.217.12.170-10.42.0.151-443-32980-6,172.217.12.170,443,10.42.0.151,32980,6,21/08/2017 10:14:28,39,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,51282.05128205128,39.0,0.0,39.0,39.0,39.0,39.0,0.0,39.0,39.0,0,0,0,0,0,0,0,0,0,64,0,51282.05128205128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,202,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
10.42.0.151-23.11.97.211-47576-443-6,10.42.0.151,47576,23.11.97.211,443,6,21/08/2017 10:13:54,35198919,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17045978031313974,7039783.8,9710489.385703312,2.0043787E7,43992.0,1.5155132E7,7577566.0,1.0569129301036013E7,1.5051069E7,104063.0,3.5154927E7,1.75774635E7,3645349.710371352,2.0155115E7,1.4999812E7,0,0,0,0,116,112,0.08522989015656987,0.08522989015656987,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,116,0,0,0,0,0,0,3,0,3,0,65535,905,0,32,104063.0,0.0,104063.0,104063.0,1.4939741E7,0.0,1.4939741E7,1.4939741E7,RANSOMWARE_WANNALOCKER
