Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-13.107.3.128-46239-443-6,10.42.0.151,46239,13.107.3.128,443,6,21/08/2017 11:17:55,56244,2,1,85.0,0.0,85.0,0.0,42.5,60.10407640085654,0.0,0.0,0.0,0.0,1511.272313491217,53.33902282910177,28122.0,10848.432236964012,35793.0,20451.0,56244.0,56244.0,0.0,56244.0,56244.0,0,0,0,0,0,1,0,0,0,64,32,35.55934855273451,17.779674276367256,0.0,85.0,42.5,49.07477288111819,2408.3333333333335,0,1,0,0,1,0,0,0,0.0,56.666666666666664,42.5,0.0,64,0,0,0,0,0,0,2,85,1,0,2093,1024,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
10.42.0.151-13.107.3.128-46239-443-6,13.107.3.128,443,10.42.0.151,46239,6,21/08/2017 11:17:55,407,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4914.004914004914,407.0,0.0,407.0,407.0,407.0,407.0,0.0,407.0,407.0,0,0,0,0,0,0,0,0,0,64,0,4914.004914004914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1024,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
172.217.20.99-10.42.0.151-443-49665-6,10.42.0.151,49665,172.217.20.99,443,6,21/08/2017 11:17:55,119951,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6734750022926,119951.0,0.0,119951.0,119951.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.3367375011463,8.3367375011463,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,175,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
157.240.2.36-10.42.0.151-443-51098-6,157.240.2.36,443,10.42.0.151,51098,6,21/08/2017 11:17:56,39,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1076923.076923077,51282.05128205128,39.0,0.0,39.0,39.0,39.0,39.0,0.0,39.0,39.0,0,0,0,0,0,1,0,0,0,64,0,51282.05128205128,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,131,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
157.240.2.36-10.42.0.151-443-51098-6,10.42.0.151,51098,157.240.2.36,443,6,21/08/2017 11:17:56,1728,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,24305.555555555555,1736.111111111111,864.0,472.34732983261375,1198.0,530.0,1728.0,864.0,472.34732983261375,1198.0,530.0,0,0,0,0,0,0,0,0,0,96,0,1736.111111111111,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1435,-1,1,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
10.42.0.151-31.13.69.195-43667-443-6,10.42.0.151,43667,31.13.69.195,443,6,21/08/2017 11:18:10,240460,6,7,1082.0,201.0,537.0,0.0,180.33333333333331,260.7241198406213,137.0,0.0,28.714285714285715,50.07898523237828,5335.606753722032,54.06304582882808,20038.333333333336,33005.242631308065,113908.0,13.0,91658.0,18331.6,21055.18804950457,42737.0,15.0,205103.0,34183.833333333336,44932.29529599692,113908.0,13.0,0,0,0,0,200,232,24.95217499792065,29.110870830907427,0.0,537.0,91.64285714285715,183.60643827443576,33711.324175824186,0,0,0,1,0,0,0,0,1.0,98.6923076923077,180.33333333333334,28.714285714285715,200,0,0,0,0,0,0,6,1082,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
156.154.200.36-10.42.0.151-443-35333-6,10.42.0.151,35333,156.154.200.36,443,6,21/08/2017 11:18:11,402223,10,10,1042.0,5041.0,501.0,0.0,104.2,182.26647159219016,1448.0,0.0,504.09999999999997,670.5370070158527,15123.451418740351,49.72366075535213,21169.63157894737,37289.190236150695,161985.0,11.0,366963.0,40773.666666666664,52097.69795058127,161985.0,11.0,368736.0,40970.666666666664,74867.93666517062,232918.0,16.0,0,0,0,0,328,328,24.861830377676064,24.861830377676064,0.0,1448.0,289.66666666666663,511.5305790794265,261663.53333333338,0,0,0,1,0,0,0,0,1.0,304.15,104.2,504.1,328,0,0,0,0,0,0,10,1042,10,5041,65535,5422,3,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
156.154.200.36-10.42.0.151-443-35333-6,10.42.0.151,35333,156.154.200.36,443,6,21/08/2017 11:18:11,14156,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,141.28284826222097,14156.0,0.0,14156.0,14156.0,14156.0,14156.0,0.0,14156.0,14156.0,0,0,0,0,0,0,0,0,0,64,0,141.28284826222097,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
10.42.0.151-52.84.29.120-52294-443-6,10.42.0.151,52294,52.84.29.120,443,6,21/08/2017 11:18:06,5851305,66,64,4281.0,77587.0,1191.0,0.0,64.86363636363639,194.84612361582117,1448.0,0.0,1212.2968749999993,479.32666660995693,13991.408754115535,22.217266062869736,45358.95348837211,378008.2332004295,4199850.0,3.0,5851305.0,90020.07692307688,530923.3089514704,4199850.0,5.0,5801682.0,92090.19047619052,549609.3473816817,4272747.0,5.0,0,0,0,0,2132,2056,11.279535078072328,10.937730984797408,0.0,1448.0,624.9465648854963,680.0184648282279,462425.1125073399,0,0,0,1,0,0,0,0,0.0,629.7538461538461,64.86363636363636,1212.296875,2132,0,0,0,0,0,0,66,4281,64,77587,65535,152,9,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
10.42.0.151-52.84.29.120-52294-443-6,52.84.29.120,443,10.42.0.151,52294,6,21/08/2017 11:18:12,30142,14,13,18389.0,0.0,1448.0,0.0,1313.5,395.4224128895384,0.0,0.0,0.0,0.0,610078.959591268,895.7600690067017,1159.3076923076924,3324.874166271329,17144.0,8.0,30142.0,2318.6153846153848,5778.5291026128425,21461.0,58.0,11343.0,945.2500000000002,1534.3342722793197,5182.0,8.0,0,0,0,0,448,260,464.4681839294009,431.2918850773008,0.0,1448.0,708.4642857142857,725.9607928471913,527019.0727513226,0,0,0,0,1,0,0,0,0.0,734.7037037037037,1313.5,0.0,448,0,0,0,0,0,0,14,18389,13,0,152,0,12,32,0,0,0,0,0,0,0,0,RANSOMWARE_WANNALOCKER
